code,name,board,industry
630,铜陵有色,深圳证券交易所,有色金属
629,钒钛股份,深圳证券交易所,钢铁
688036,传音控股,上海证券交易所,电子
2353,杰瑞股份,深圳证券交易所,机械设备
600009,上海机场,上海证券交易所,交通运输
600938,中国海油,上海证券交易所,石油石化
601117,中国化学,上海证券交易所,建筑装饰
2008,大族激光,深圳证券交易所,机械设备
300308,中际旭创,深圳证券交易所,通信
301611,珂玛科技,深圳证券交易所,电子
300274,阳光电源,深圳证券交易所,电力设备
300390,天华新能,深圳证券交易所,电力设备
538,云南白药,深圳证券交易所,医药生物
301301,川宁生物,深圳证券交易所,医药生物
600549,厦门钨业,上海证券交易所,有色金属
601898,中煤能源,上海证券交易所,煤炭
858,五粮液,深圳证券交易所,食品饮料
300124,汇川技术,深圳证券交易所,机械设备
688608,恒玄科技,上海证券交易所,电子
600606,绿地控股,上海证券交易所,房地产
601336,新华保险,上海证券交易所,非银金融
